trial,bet,block,sampleFrequency,reportedFrequency,reactionTime,error, errorP, sampleFreqP,reportedFrequencyP,mainFrequency,mainFreqP,cummulativeScore,stimulusDuration,timeBtwTriggerAndStim
39,2,3.0,581.4649355987762,882.9850746268656,735,-301.5201390280895,-7.232362284820494,73.82626405122748,81.05862633604798,587.3295358348151,74.0,0.0,250,1
39,3,3.0,581.4649355987762,732.5373134328357,702,-151.07237783405958,-3.9985206435865384,73.82626405122748,77.82478469481403,587.3295358348151,74.0,0.0,250,1
39,4,3.0,581.4649355987762,654.9253731343283,702,-73.46043753555216,-2.0596599644699944,73.82626405122748,75.88592401569748,587.3295358348151,74.0,0.0,250,1
39,5,3.0,581.4649355987762,807.7611940298507,893,-226.29625843107453,-5.690839727350126,73.82626405122748,79.5171037785776,587.3295358348151,74.0,0.0,250,1
39,6,3.0,581.4649355987762,577.3134328358209,1577,4.1515027629552606,0.12404880664622497,73.82626405122748,73.70221524458125,587.3295358348151,74.0,51.0,250,1
40,1,3.0,703.0913264124965,1026.2686567164178,3369,-323.1773303039213,-6.547493365760328,77.11450287883557,83.6619962445959,698.4564628660078,77.0,0.0,250,1
40,2,3.0,703.0913264124965,925.9701492537313,752,-222.87882284123475,-4.767043064456688,77.11450287883557,81.88154594329225,698.4564628660078,77.0,0.0,250,1
40,3,3.0,703.0913264124965,825.6716417910447,687,-122.58031537854822,-2.7822727058295276,77.11450287883557,79.8967755846651,698.4564628660078,77.0,0.0,250,1
40,4,3.0,703.0913264124965,722.9850746268656,727,-19.89374821436911,-0.4830452083555426,77.11450287883557,77.59754808719111,698.4564628660078,77.0,29.0,250,1
40,5,3.0,703.0913264124965,641.7910447761194,742,61.30028163637712,1.5793012542545302,77.11450287883557,75.53520162458103,698.4564628660078,77.0,29.0,250,1
40,6,3.0,703.0913264124965,571.3432835820895,1421,131.74804283040703,3.5922512141440968,77.11450287883557,73.52225166469147,698.4564628660078,77.0,29.0,250,1
41,1,3.0,491.1780473637152,200.0,6112,291.1780473637152,15.554952990698073,70.90491070569885,55.349957715000784,493.8833012561241,71.0,0.0,250,0
41,2,3.0,491.1780473637152,283.5820895522388,940,207.5959578114764,9.50975597621997,70.90491070569885,61.39515472947889,493.8833012561241,71.0,0.0,250,0
41,3,3.0,491.1780473637152,420.8955223880597,710,70.28252497565552,2.673407047405821,70.90491070569885,68.23150365829304,493.8833012561241,71.0,0.0,250,0
41,4,3.0,491.1780473637152,348.05970149253733,948,143.1183458711779,5.962935536433733,70.90491070569885,64.94197516926512,493.8833012561241,71.0,0.0,250,0
41,5,3.0,491.1780473637152,504.47761194029846,890,-13.299564576583236,-0.46252995919486595,70.90491070569885,71.36744066489372,493.8833012561241,71.0,41.0,250,0
41,6,3.0,491.1780473637152,498.5074626865671,1835,-7.329415322851901,-0.25642823349728255,70.90491070569885,71.16133893919614,493.8833012561241,71.0,60.0,250,0
42,1,3.0,499.24649838300184,NaN,NaN,NaN,NaN,71.18698542209769,NaN,493.8833012561241,71.0,0,250,0
42,2,3.0,499.24649838300184,NaN,NaN,NaN,NaN,71.18698542209769,NaN,493.8833012561241,71.0,0,250,0
42,3,3.0,499.24649838300184,NaN,NaN,NaN,NaN,71.18698542209769,NaN,493.8833012561241,71.0,0,250,0
42,4,3.0,499.24649838300184,NaN,NaN,NaN,NaN,71.18698542209769,NaN,493.8833012561241,71.0,0,250,0
42,5,3.0,499.24649838300184,NaN,NaN,NaN,NaN,71.18698542209769,NaN,493.8833012561241,71.0,0,250,0
42,6,3.0,499.24649838300184,NaN,NaN,NaN,NaN,71.18698542209769,NaN,493.8833012561241,71.0,0,250,0
